Поле	Описание	Правила заполнения
Заключение происходит в соответствии с законом	Закон, на основании которого происходит заключение	"44-ФЗ
223-ФЗ"
Способ размещения закупки	Тип закупки, на основании которой был заключен контракт	"В рамках проекта используется только ""
Единственный поставщик"""
Основание заключения	Детализация закона основания	"п. 4 ч. 1 ст. 93 Закупка объемом до 600 тысяч рублей
п. 5 ч. 1 ст. 93 Закупка объёмом до 600 тысяч рублей"
Номер	Указывается вручную заказчиком	Текстовая строка без ограничений 
Период действия	Срок действия контракта: с какой даты начинает действовать и когда завершается	Диапазон дат, указывается заказчиком
Предмет контракта	Текстовое описание предмета контракта	Текстовая строка без ограничений 
Место заключения	Место заключения контракта по месту расположения заказчика	Адресный справочник
Идентификационный код закупки (ИКЗ)	Уникальный идентификатор закупки	Числовое поле 36 символов
Источник финансирования	Источник выделения средств на оплату контракта	"Справочное значение:
Бюджетные средства
Небюджетные средства
Средства ОМС"
Сумма	Полная стоимость контракта в рублях	числовое поле
Аванс	Размер аванса	числовое поле
Сведения о заказчике/Сведения о поставщике	Группа полей с реквизитами организации заказчика и поставщика	
Подписант	ФИО и должность подписанта	Текстовая строка без ограничений 
ОБЩИЕ СВЕДЕНИЯ	ИНН, КПП, ОГРН и фактический адрес	
БАНКОВСКИЕ РЕКВИЗИТЫ	Наименование банка, БИК, Расчетный счет	
КОНТАКТНЫЕ ДАННЫЕ	Телефон, емейл	
Спецификация	"Группа полей с перечнем поставляемой продукции или оказываемых услуг. У каждой позиции должно быть: - наименование;- ОКПД2;- Цена с НДС;- Кол-во с ед. измерения;- НДС;- Сумма с НДС"	
Сведения о поставке	"Группа полей с перечнем адресов поставки и количества поставляемого товара/услуги:;- Адрес, включая город;- срок поставки;- Наименование продукции или услуги;- Цена с НДС;- Кол-во с ед. измерения;- Сумма с НДС"	
